Gene name,pval,Immune_median,Non-immune_median,Immune_mean,Non-immune_mean,adj_pval,Higher In
KDM1A,0.12661056603633564,2.0,2.0,2.0,1.446808510638298,0.2791925302339709,NA
NOS2,0.46676865733075357,0.0,0.0,0.1,0.2647058823529412,0.6473315152723694,NA
PSMB1,0.27024914301978575,2.0,2.0,2.2142857142857144,1.8969072164948453,0.4385174773528599,NA
FYN,2.4567055156070502e-06,2.0,0.0,1.6,0.25301204819277107,4.6950372076045846e-05,Immune
CAPN1,0.018672302298725976,3.0,2.0,2.769230769230769,2.072289156626506,0.07683959166703239,NA
BIRC3,0.0017642391272287956,1.0,0.0,1.1666666666666667,0.42857142857142855,0.01680774211611805,Immune
MAP2K3,0.9564983217438037,1.0,1.0,1.2,1.1714285714285715,0.9930692072654511,NA
ADRB1,0.3128612776866392,0.0,0.0,0.0,0.125,0.4936893556156141,NA
HIPK2,0.9134849952430867,2.0,2.0,2.1538461538461537,2.0217391304347827,0.9592136519549166,NA
PKN2,0.14092922357701126,0.5,2.0,1.0,1.5555555555555556,0.30299783069057423,NA
MYLK,0.10236373494919702,0.0,0.0,0.0,0.28695652173913044,0.25309041319192604,NA
MAP2K4,0.3913444250908128,0.0,1.0,0.45454545454545453,0.6395348837209303,0.5704342467425407,NA
FGFR3,0.8280500190137531,0.0,0.0,0.3125,0.4036697247706422,0.9205102234986008,NA
MAOB,0.1557492648748405,1.5,2.5,1.5714285714285714,1.9473684210526316,0.311498529749681,NA
RPS6KA2,0.7805694537913626,2.0,2.0,1.7,1.6571428571428573,0.8870386588823918,NA
MARK2,0.05771993997644931,0.5,1.0,0.7,1.3333333333333333,0.17417245045525057,NA
STK10,3.1848672736417326e-09,3.0,0.0,2.1333333333333333,0.24752475247524752,9.1299528511063e-08,Immune
CA12,0.007920665836097785,0.0,0.0,0.05,0.736,0.048655518707457816,Non-Immune
FGFR1,0.0024987785473661174,1.0,2.0,0.9,1.7536231884057971,0.020659148499930696,Non-Immune
PSEN1,0.4628272745086469,2.0,2.0,1.9,1.6341463414634145,0.6472056196381079,NA
HSP90AA1,0.10684220467954961,0.0,0.0,0.0,0.3373493975903614,0.25309041319192604,NA
STK17B,1.0,1.0,1.0,1.2,1.1343283582089552,1.0,NA
GSK3B,0.11515100735775913,0.5,1.0,0.7,1.2142857142857142,0.26407964354046093,NA
AURKA,0.0025223378982473523,1.0,0.0,0.8,0.25675675675675674,0.020659148499930696,Immune
NOS1,0.21752878509943507,0.0,0.0,0.0,0.2903225806451613,0.3817852146643146,NA
ESR1,0.9812387066928695,0.0,0.0,0.5,0.4777777777777778,1.0,NA
SRPK1,0.1845577426524554,2.0,2.0,1.7,2.0657894736842106,0.3492672815758598,NA
ABL1,0.2017473452379822,1.0,1.0,0.7142857142857143,1.030612244897959,0.365268877694031,NA
MAPK1,0.9625164362270165,2.0,2.0,2.3,2.23943661971831,0.9930692072654511,NA
HIF1A,0.017362183886892864,2.0,1.0,1.7,0.9411764705882353,0.07657168278321981,NA
BDKRB1,0.010540774315085284,1.0,2.0,1.0,1.8208955223880596,0.055758861151577514,NA
PSMB5,0.04752656108439963,0.0,0.0,0.0,0.5444444444444444,0.14597443761637027,NA
STK4,3.443483507788314e-07,3.0,1.0,2.4,0.8947368421052632,7.403489541744875e-06,Immune
HCK,1.5924117209538192e-09,1.0,0.0,1.0,0.07792207792207792,5.4778963200811383e-08,Immune
PAK5,0.2533032086071233,0.0,0.0,0.0,0.31868131868131866,0.4271387439257373,NA
AHCY,0.9642009163565717,2.0,2.0,1.8,1.7681159420289856,0.9930692072654511,NA
XIAP,0.022564014449853006,0.0,1.0,0.3,1.0769230769230769,0.08488341602894678,NA
FLT1,0.17822628867994317,0.0,0.0,0.14285714285714285,0.47,0.34443732194326093,NA
IKBKB,0.0015980562507080516,2.0,1.0,1.9,1.1666666666666667,0.016168569124810874,Immune
CCNE1,0.4384664561451649,1.0,1.0,0.8,0.7014925373134329,0.6181658234177734,NA
PRKD2,0.004758903310781246,2.0,1.0,2.0,1.0,0.032392373776099805,Immune
JAK3,4.019755687627394e-11,1.5,0.0,1.3,0.06756756756756757,3.4569898913595592e-09,Immune
GSK3A,0.06629754470196839,3.0,2.0,2.6,2.1176470588235294,0.18693733915964855,NA
CDK6,0.0018566691872455986,2.0,1.0,1.5,0.7272727272727273,0.01680774211611805,Immune
NAMPT,0.0650017455903304,1.5,1.0,1.4,0.9014084507042254,0.18633833735894711,NA
PIK3CG,0.1054239772257201,2.0,0.0,1.2222222222222223,0.6933333333333334,0.25309041319192604,NA
CA9,0.39903195572985706,0.0,0.0,0.0,0.18309859154929578,0.5767520704666842,NA
MAP2K6,0.883525100505148,1.0,1.0,1.3,1.380281690140845,0.9403016758549093,NA
GNRHR,0.6093509489823187,0.0,0.0,0.0,0.04285714285714286,0.7594808929344842,NA
CTSC,0.26855678880821554,1.0,1.0,1.3846153846153846,1.0515463917525774,0.4385174773528599,NA
CCND1,0.003959203297436537,3.0,2.0,2.5,1.5714285714285714,0.029607955093873234,Immune
BIRC2,0.15993749918578515,0.0,1.0,0.6153846153846154,1.021505376344086,0.31619827425235686,NA
HIPK3,0.774152757536248,2.0,1.5,1.3,1.2432432432432432,0.8870386588823918,NA
LTA4H,0.09617199705878367,2.0,2.0,2.0,1.4545454545454546,0.24688930588225058,NA
PRMT8,0.2521512136697327,0.0,0.0,0.0,0.25675675675675674,0.4271387439257373,NA
FRK,0.08001771270115529,0.0,0.0,0.0,0.47058823529411764,0.21173917822459554,NA
PDE10A,0.662152049770746,0.0,0.0,0.0,0.03529411764705882,0.7909038372261689,NA
CCND3,0.0015425920569987843,1.0,0.0,1.2,0.4714285714285714,0.016168569124810874,Immune
PRPF4B,0.2386886788974506,0.5,1.0,0.8,1.1714285714285715,0.410544527703615,NA
CLK4,0.034239837467221916,0.5,1.0,0.6,1.2,0.11111796310117301,NA
PDGFRB,0.03926292398548834,0.0,0.0,0.0,0.41304347826086957,0.12505968380562954,NA
GRK7,0.5613495829271382,0.0,0.0,0.0,0.09210526315789473,0.7299456693754651,NA
STK16,0.01855039430526583,0.0,1.0,0.4,1.25,0.07683959166703239,NA
AAK1,0.22842884556867527,0.0,0.0,0.0,0.21978021978021978,0.39686627714961764,NA
EPHA4,0.2689831462969521,0.0,0.0,0.26666666666666666,0.4358974358974359,0.4385174773528599,NA
OPRD1,0.8423212704199347,0.0,0.0,0.1,0.24285714285714285,0.92871319559121,NA
HDAC1,0.08525062271205883,2.0,2.0,2.3,1.6363636363636365,0.22216828949203207,NA
APH1A,0.10741628001750349,3.0,2.0,2.7,2.3529411764705883,0.25309041319192604,NA
HSD11B1,0.6239937681889589,0.0,0.0,0.0,0.06578947368421052,0.7663747834661381,NA
RPS6KA1,0.6282490957484039,2.0,2.0,1.7,1.5405405405405406,0.7663747834661381,NA
CCND2,0.00966786437242102,0.0,0.0,0.0,0.4927536231884058,0.055429089068547176,NA
EPHX2,0.3743237541515061,1.0,1.5,1.0,1.368421052631579,0.5522167136980669,NA
