Gene name,pval,Immune_prop_1,NonImmune_prop_1,adj_pval,Higher In
KDM1A,0.46146387214518025,0.75,0.5567010309278351,0.8918178203255168,NA
NOS2,1.0,0.0,0.056338028169014086,1.0,NA
PSMB1,0.06247629043696669,1.0,0.72,0.31438528924500436,NA
FYN,7.983852053118617e-06,0.8571428571428571,0.06976744186046512,0.0004577408510454674,Immune
CAPN1,0.20269139831996746,1.0,0.7790697674418605,0.6116301844041124,NA
BIRC3,0.0015884943904091954,0.4666666666666667,0.10852713178294573,0.024838275922761964,Immune
MAP2K3,1.0,0.42857142857142855,0.4383561643835616,1.0,NA
ADRB1,1.0,0.0,0.02666666666666667,1.0,NA
HIPK2,1.0,0.8,0.7578947368421053,1.0,NA
PKN2,0.2311728599528603,0.2857142857142857,0.5866666666666667,0.6329040229544914,NA
MYLK,0.3591251669959143,0.0,0.10084033613445378,0.8235937163106302,NA
MAP2K4,1.0,0.125,0.11235955056179775,1.0,NA
FGFR3,1.0,0.15384615384615385,0.15178571428571427,1.0,NA
MAOB,0.31747510879711954,0.5454545454545454,0.7008547008547008,0.7913872277261531,NA
RPS6KA2,1.0,0.7142857142857143,0.6438356164383562,1.0,NA
MARK2,0.014982098750609874,0.0,0.4888888888888889,0.11735800775710732,NA
STK10,5.682679576255555e-07,0.75,0.07692307692307693,9.774208871159554e-05,Immune
CA12,0.022935058232738108,0.0,0.24806201550387597,0.1643679173346231,NA
FGFR1,0.024447514679597396,0.2857142857142857,0.7361111111111112,0.16819890099563006,NA
PSEN1,1.0,0.7142857142857143,0.6705882352941176,1.0,NA
HSP90AA1,1.0,0.0,0.08139534883720931,1.0,NA
STK17B,0.42992663398697306,0.5714285714285714,0.38571428571428573,0.8835079622037134,NA
GSK3B,0.6936586973895433,0.2857142857142857,0.4246575342465753,1.0,NA
AURKA,0.1606425702811245,0.14285714285714285,0.012987012987012988,0.567523686948681,NA
NOS1,1.0,0.0,0.09375,1.0,NA
ESR1,1.0,0.125,0.1702127659574468,1.0,NA
SRPK1,0.6471157013582564,0.7142857142857143,0.7848101265822784,1.0,NA
ABL1,0.015010907968932332,0.0,0.36633663366336633,0.11735800775710732,NA
MAPK1,0.586298517038024,1.0,0.8378378378378378,1.0,NA
HIF1A,0.2428585204360258,0.5714285714285714,0.3380281690140845,0.6329040229544914,NA
BDKRB1,0.005156140634475677,0.14285714285714285,0.7142857142857143,0.05912374594198776,NA
PSMB5,0.599151826054598,0.0,0.1827956989247312,1.0,NA
STK4,2.3632840616969452e-05,0.8571428571428571,0.08860759493670886,0.0008853160002677728,Immune
HCK,0.25522060883753894,0.16666666666666666,0.0375,0.6455580105890691,NA
PAK5,1.0,0.0,0.10638297872340426,1.0,NA
AHCY,0.1866676376126697,1.0,0.7361111111111112,0.5839374990413859,NA
XIAP,0.045367173722255565,0.0,0.39361702127659576,0.26907427173199855,NA
FLT1,1.0,0.09090909090909091,0.1650485436893204,1.0,NA
IKBKB,0.018395444891601925,0.8571428571428571,0.37333333333333335,0.13756593571111006,NA
CCNE1,1.0,0.14285714285714285,0.11428571428571428,1.0,NA
PRKD2,0.1021253467889044,0.7142857142857143,0.3561643835616438,0.4085013871556176,NA
JAK3,0.000578941098971204,0.5714285714285714,0.03896103896103896,0.011064207669227452,Immune
GSK3A,1.0,0.8571428571428571,0.7887323943661971,1.0,NA
CDK6,0.0020263930982519066,0.6363636363636364,0.17699115044247787,0.029044967741610663,Immune
NAMPT,0.41718922427783184,0.42857142857142855,0.28378378378378377,0.8764861607736762,NA
PIK3CG,0.061394964589093375,0.6666666666666666,0.2692307692307692,0.31438528924500436,NA
